category	gate	logical_path	single_responsibility	implementation_contract	owned_inputs	owned_outputs	authoritative_algorithm	required_test	scope_instruction	specific_acceptance
Project	V1	PersonalAssistant.swiftpm/[generated app manifest]	Use actual Playgrounds-created project metadata	Target OS/package/resources inferred from exported template; packaging import/build probe; never hand-invent manifest	actual manifest/template or source inventory	scaffold verification, hashes and exact docs consistency	12 §platform; 13 W00/W14	T028	Required V1 deliverable	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	PersonalAssistant.swiftpm/README.md	iPad installation, keys, permissions and troubleshooting	Task-oriented instructions plus verified template import path; test on fresh Playground	actual manifest/template or source inventory	scaffold verification, hashes and exact docs consistency	12 §platform; 13 W00/W14	T028	Required V1 deliverable	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Resources	V1	Resources/PrivacyInfo.xcprivacy	Declare collected data and required-reason API use	Audit imported SDKs + actual device APIs; validate with distribution tooling	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	12 §assets; 15 §7	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/PublicConfig.json	Nonsecret provider base URLs, public flags and catalog TTL	Strict Decodable schema + allowlisted HTTPS origins; tampered-config test	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	12 §assets; 15 §7	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Project	V1	Docs/00_PRODUCT_SCOPE.md	Freeze V1 shipped, conditional and later scope	Requirement IDs and acceptance traceability; no misleading enabled future feature	actual manifest/template or source inventory	scaffold verification, hashes and exact docs consistency	12 §platform; 13 W00/W14	T028	Required V1 deliverable	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/01_ARCHITECTURE.md	Dependency rules, diagrams and ownership	Architecture decision records and dependency audit	actual manifest/template or source inventory	scaffold verification, hashes and exact docs consistency	12 §platform; 13 W00/W14	T028	Required V1 deliverable	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/02_API_CONTRACTS.md	Provider and service DTO/interface specifications	Versioned Codable events + stub/mock compatibility contract tests	actual manifest/template or source inventory	scaffold verification, hashes and exact docs consistency	12 §platform; 13 W00/W14	T028	Required V1 deliverable	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/03_PRIVACY_AND_THREAT_MODEL.md	Data-flow and attacker analysis	STRIDE + LLM prompt-injection abuse cases; privacy test matrix	actual manifest/template or source inventory	scaffold verification, hashes and exact docs consistency	12 §platform; 13 W00/W14	T028	Required V1 deliverable	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/04_DEVICE_TEST_MATRIX.md	iPhone/iPad/OS/language/network cases	Positive, negative and conditional availability gates	actual manifest/template or source inventory	scaffold verification, hashes and exact docs consistency	12 §platform; 13 W00/W14	T028	Required V1 deliverable	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/05_RELEASE_CHECKLIST.md	Repeatable clean install, device build and release gates	Checkbox evidence links; no unsupported claims of deployment readiness	actual manifest/template or source inventory	scaffold verification, hashes and exact docs consistency	12 §platform; 13 W00/W14	T028	Required V1 deliverable	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/06_DEPENDENCY_LOCK.md	Record Apple SDK, package versions and licenses	Lockfile/hash checks and third-party dependency inventory	actual manifest/template or source inventory	scaffold verification, hashes and exact docs consistency	12 §platform; 13 W00/W14	T028	Required V1 deliverable	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/07_DECISION_LOG.md	Record ADRs and architecture changes	Immutable numbered decisions with reversibility and consequences	actual manifest/template or source inventory	scaffold verification, hashes and exact docs consistency	12 §platform; 13 W00/W14	T028	Required V1 deliverable	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
App	V1	App/PersonalAssistantApp.swift	Single SwiftUI @main app entry, scene and model container	Initialize dependency container once; scene lifecycle/test-launch	app state and domain commands	single composition root, session-generation guarded lifecycle	12 §source ownership; 14 B11	T001/T003	Required V1 deliverable	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/AppContainer.swift	Dependency composition for all service protocols	Constructor injection; fake swaps; forbid service construction in views	app state and domain commands	single composition root, session-generation guarded lifecycle	12 §source ownership; 14 B11	T001/T003	Required V1 deliverable	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/AppSession.swift	Current user, active assistant, lock state and foreground state	MainActor observable source of truth; account-switch isolation test	app state and domain commands	single composition root, session-generation guarded lifecycle	12 §source ownership; 14 B11	T001/T003	Required V1 deliverable	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/AppRouter.swift	Global routes, sheets, deep links and tab selection	Typed enum navigation; restore safe route only; unknown-link rejection	app state and domain commands	single composition root, session-generation guarded lifecycle	14 B03	T001/T003	Required V1 deliverable	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/CapabilityCenter.swift	Cache runtime/permission/model/locale readiness	Async refresh and invalidation; device/locale matrix; no assumed AI eligibility	app state and domain commands	single composition root, session-generation guarded lifecycle	12 §source ownership; 14 B11	T001/T003	Required V1 deliverable	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/FeatureGate.swift	Present only genuinely supported features	Capability+release-flag+consent conjunction; disabled-reason snapshot test	app state and domain commands	single composition root, session-generation guarded lifecycle	12 §source ownership; 14 B11	T001/T003	Required V1 deliverable	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/ApplicationCommandBus.swift	UI and voice share domain-level entry points	Typed commands, trace IDs and serial side-effect routing; replay guard	app state and domain commands	single composition root, session-generation guarded lifecycle	12 §source ownership; 14 B11	T001/T003	Required V1 deliverable	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
DesignSystem	V1	DesignSystem/AppTheme.swift	Shared semantic colors, spacing and radii	Dynamic system appearance and contrast tokens; dark-mode tests	appearance-aware components and design tokens	dynamic type/contrast/Reduce Motion/focus and keyboard	12 §product; 13 W03	T026/T027	Required V1 deliverable	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/AdaptiveLayout.swift	Compact/regular navigation and split-view decisions	Size classes + geometry breakpoints; rotation and split-window tests	appearance-aware components and design tokens	dynamic type/contrast/Reduce Motion/focus and keyboard	12 §product; 13 W03	T026/T027	Required V1 deliverable	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/AccessibleButton.swift	Shared accessible action with loading/disabled states	44-point hit target minimum goal, accessible labels and busy state	appearance-aware components and design tokens	dynamic type/contrast/Reduce Motion/focus and keyboard	12 §product; 13 W03	T026/T027	Required V1 deliverable	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/AsyncStateView.swift	Loading, empty, retry, permission and error presentations	Exhaustive async state enum rendering; view snapshot cases	appearance-aware components and design tokens	dynamic type/contrast/Reduce Motion/focus and keyboard	12 §product; 13 W03	T026/T027	Required V1 deliverable	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/AssistantStatusChip.swift	Visible local/cloud/route/voice/task status	Derive labels only from confirmed runtime state; no speculative ready state	appearance-aware components and design tokens	dynamic type/contrast/Reduce Motion/focus and keyboard	12 §product; 13 W03	T026/T027	Required V1 deliverable	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
