category	gate	logical_path	responsibility	algorithm_or_concept	category_recipe	acceptance
Project	V1	PersonalAssistant.swiftpm/[generated app manifest]	Use actual Playgrounds-created project metadata	Target OS/package/resources inferred from exported template; packaging import/build probe; never hand-invent manifest	MUST be exported from real iPad Playground template or project packaging stays blocked.	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	PersonalAssistant.swiftpm/README.md	iPad installation, keys, permissions and troubleshooting	Task-oriented instructions plus verified template import path; test on fresh Playground	Match declared deliverable to canonical scope; resolve actual generated Playground manifest instead of fabricating metadata; keep commands and provenance reproducible.	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Resources	V1	Resources/PrivacyInfo.xcprivacy	Declare collected data and required-reason API use	Audit imported SDKs + actual device APIs; validate with distribution tooling	Audit precise actual required-reason API use; do not invent declarations or privacy compliance.	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/PublicConfig.json	Nonsecret provider base URLs, public flags and catalog TTL	Strict Decodable schema + allowlisted HTTPS origins; tampered-config test	Define exact JSON/plist/catalog keys and allowed encodings; verify application target lookup, missing-resource fallback and no embedded credentials.	Asset parses/loads on-device, handles missing asset and contains no secret.
Project	V1	Docs/00_PRODUCT_SCOPE.md	Freeze V1 shipped, conditional and later scope	Requirement IDs and acceptance traceability; no misleading enabled future feature	Match declared deliverable to canonical scope; resolve actual generated Playground manifest instead of fabricating metadata; keep commands and provenance reproducible.	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/01_ARCHITECTURE.md	Dependency rules, diagrams and ownership	Architecture decision records and dependency audit	Match declared deliverable to canonical scope; resolve actual generated Playground manifest instead of fabricating metadata; keep commands and provenance reproducible.	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/02_API_CONTRACTS.md	Provider and service DTO/interface specifications	Versioned Codable events + stub/mock compatibility contract tests	Match declared deliverable to canonical scope; resolve actual generated Playground manifest instead of fabricating metadata; keep commands and provenance reproducible.	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/03_PRIVACY_AND_THREAT_MODEL.md	Data-flow and attacker analysis	STRIDE + LLM prompt-injection abuse cases; privacy test matrix	Match declared deliverable to canonical scope; resolve actual generated Playground manifest instead of fabricating metadata; keep commands and provenance reproducible.	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/04_DEVICE_TEST_MATRIX.md	iPhone/iPad/OS/language/network cases	Positive, negative and conditional availability gates	Match declared deliverable to canonical scope; resolve actual generated Playground manifest instead of fabricating metadata; keep commands and provenance reproducible.	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/05_RELEASE_CHECKLIST.md	Repeatable clean install, device build and release gates	Checkbox evidence links; no unsupported claims of deployment readiness	Match declared deliverable to canonical scope; resolve actual generated Playground manifest instead of fabricating metadata; keep commands and provenance reproducible.	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
